date,passengers
1939-01,491
1939-02,738
1939-03,136
1939-04,982
1939-05,871
1939-06,512
1939-07,551
1939-08,331
1939-09,347
1939-10,271
1939-11,862
1939-12,333
1940-01,457
1940-02,181
1940-03,112
1940-04,52
1940-05,19
1940-06,705
1940-07,55
1940-08,65
1940-09,625
1940-10,599
1940-11,677
1940-12,322
1941-01,573
1941-02,419
1941-03,134
1941-04,173
1941-05,244
1941-06,981
1941-07,344
1941-08,710
1941-09,247
1941-10,185
1941-11,361
1941-12,247
1942-01,56
1942-02,581
1942-03,759
1942-04,225
1942-05,950
1942-06,815
1942-07,292
1942-08,568
1942-09,613
1942-10,461
1942-11,127
1942-12,955
1943-01,958
1943-02,58
1943-03,262
1943-04,62
1943-05,727
1943-06,390
1943-07,115
1943-08,892
1943-09,74
1943-10,258
1943-11,843
1943-12,327
1944-01,626
1944-02,947
1944-03,576
1944-04,37
1944-05,823
1944-06,583
1944-07,836
1944-08,988
1944-09,607
1944-10,468
1944-11,440
1944-12,35
1945-01,323
1945-02,721
1945-03,840
1945-04,352
1945-05,811
1945-06,729
1945-07,396
1945-08,153
1945-09,603
1945-10,340
1945-11,393
1945-12,270
1946-01,257
1946-02,33
1946-03,230
1946-04,667
1946-05,239
1946-06,607
1946-07,490
1946-08,879
1946-09,559
1946-10,126
1946-11,70
1946-12,903
1947-01,34
1947-02,534
1947-03,855
1947-04,678
1947-05,659
1947-06,294
1947-07,514
1947-08,734
1947-09,557
1947-10,690
1947-11,264
1947-12,336
1948-01,343
1948-02,899
1948-03,462
1948-04,122
1948-05,431
1948-06,343
1948-07,911
1948-08,905
1948-09,618
1948-10,54
1948-11,729
1948-12,377
1949-01,497
1949-02,55
1949-03,355
1949-04,327
1949-05,46
1949-06,499
1949-07,740
1949-08,491
1949-09,180
1949-10,190
1949-11,435
1949-12,378
1950-01,828
1950-02,159
1950-03,927
1950-04,700
1950-05,171
1950-06,702
1950-07,772
1950-08,640
1950-09,958
1950-10,31
1950-11,916
1950-12,490
1951-01,983
1951-02,809
1951-03,268
1951-04,325
1951-05,310
1951-06,263
1951-07,652
1951-08,926
1951-09,10
1951-10,60
1951-11,474
1951-12,845
1952-01,596
1952-02,829
1952-03,425
1952-04,750
1952-05,290
1952-06,387
1952-07,202
1952-08,234
1952-09,191
1952-10,598
1952-11,64
1952-12,117
